id,company,industry,year,ai_esg_investment_percentage,primary_esg_initiative,ai_contribution,esg_performance_score,carbon_footprint_reduction,resource_efficiency_improvement,stakeholder_trust_index,regulatory_compliance_score,social_impact_score
1,SpaceVentures,Agriculture,2020,69.07,Carbon Neutrality,Energy Efficiency Modeling,54.78,19.87,21.81,78.46,100,100
2,GreenMobility,Telecommunications,2023,98.81,Biodiversity Protection,Social Impact Prediction,59.84,20.22,22.69,77.69,95.56,87.08
3,AIFirst,Biotechnology,2023,97.87,Community Engagement,Ecosystem Monitoring,69.96,25.73,29.91,84.2,100,100
4,GreenMobility,Agriculture,2021,83.65,Carbon Neutrality,Emissions Tracking,52.12,22.31,22.0,78.3,100,88.84
5,DataDynamics,Finance,2020,94.25,Biodiversity Protection,Ecosystem Monitoring,62.59,22.43,27.05,75.2,90.74,100
6,CyberSecure,Energy,2022,89.42,Carbon Neutrality,Emissions Tracking,56.94,23.75,24.17,78.39,100,93.01
7,EduTech,Entertainment,2021,85.31,Diversity & Inclusion,Bias Detection,48.52,12.09,21.57,71.76,75.36,82.89
8,EcoSolutions,Entertainment,2021,69.66,Water Conservation,Sustainable Resource Allocation,42.11,11.7,19.89,73.6,72.48,87.17
9,QuantumLeap,Entertainment,2020,58.58,Community Engagement,Ecosystem Monitoring,37.83,10.42,16.93,74.14,73.7,92.22
10,GlobalFinance,Energy,2023,117.16,Diversity & Inclusion,Bias Detection,65.12,29.6,27.81,79.55,100,95.16
11,EduTech,Transportation,2022,92.51,Circular Economy,Waste Reduction Optimization,64.8,25.55,26.14,81.94,100,100
12,QuantumLeap,Aerospace,2021,105.31,Renewable Energy Adoption,Energy Efficiency Modeling,75.56,28.62,33.75,78.88,100,100
13,AgroTech,Aerospace,2021,83.63,Carbon Neutrality,Energy Efficiency Modeling,67.72,25.98,24.98,81.74,100,100
14,DataDynamics,Agriculture,2023,89.08,Circular Economy,Sustainable Resource Allocation,52.72,21.6,24.01,72.43,100,90.1
15,EnergyFuture,Entertainment,2024,95.25,Fair Labor Practices,Ethical Decision Support,48.67,12.1,21.33,72.92,74.85,77.78
16,AgroTech,Telecommunications,2024,88.21,Sustainable Supply Chain,Supplier Risk Assessment,58.35,18.89,24.12,79.8,93.75,97.64
17,CyberSecure,Education,2021,74.21,Diversity & Inclusion,Bias Detection,44.72,12.35,18.4,72.19,84.09,81.81
18,DataDynamics,Automotive,2023,140.1,Biodiversity Protection,Social Impact Prediction,88.74,36.88,35.61,88.87,100,100
19,AgroTech,Agriculture,2020,69.7,Fair Labor Practices,Fair Pay Analysis,36.97,13.03,15.78,74.15,100,70.68
20,AgroTech,Real Estate,2022,77.93,Sustainable Supply Chain,Supplier Risk Assessment,54.56,16.85,20.01,75.62,92.98,93.09
21,FintechFront,Finance,2024,102.79,Ethical AI,Ethical Decision Support,59.1,20.12,24.72,81.51,92.91,77.64
22,RoboWorks,Finance,2021,118.77,Fair Labor Practices,Ethical Decision Support,60.64,19.26,25.78,79.35,95.85,82.54
23,CleanEnergy,Retail,2022,76.43,Community Engagement,Ecosystem Monitoring,58.58,19.23,23.51,74.68,81.65,97.98
24,HealthInnovate,Manufacturing,2021,76.71,Circular Economy,Waste Reduction Optimization,49.88,22.09,20.3,77.84,100,97.87
25,AgroTech,Entertainment,2023,84.45,Sustainable Supply Chain,Sustainable Resource Allocation,50.66,13.58,21.32,78.55,75.62,95.26
26,RoboWorks,Automotive,2023,132.77,Carbon Neutrality,Emissions Tracking,78.01,29.09,31.8,85.5,100,100
27,SmartRetail,Finance,2020,94.64,Community Engagement,Ecosystem Monitoring,62.52,19.12,25.13,82.5,91.15,100
28,DataDynamics,Energy,2020,97.02,Circular Economy,Sustainable Resource Allocation,67.43,28.63,25.65,82.04,100,97.72
29,RoboWorks,Education,2020,57.32,Biodiversity Protection,Social Impact Prediction,37.73,10.31,13.83,74.23,80.56,79.52
30,GreenMobility,Real Estate,2020,49.16,Biodiversity Protection,Ecosystem Monitoring,33.98,10.69,14.22,72.99,85.69,85.1
31,EduTech,Energy,2022,123.26,Fair Labor Practices,Fair Pay Analysis,65.29,27.2,28.31,80.53,100,85.4
32,DataDynamics,Finance,2021,91.58,Community Engagement,Ecosystem Monitoring,66.86,22.39,27.46,81.55,92.95,100
33,BioGen,Retail,2024,82.87,Community Engagement,Social Impact Prediction,44.99,12.76,19.28,75.63,82.42,82.66
34,EduTech,Education,2022,83.88,Biodiversity Protection,Ecosystem Monitoring,53.76,16.21,24.15,79.5,82.02,99.33
35,EduTech,Healthcare,2024,142.19,Biodiversity Protection,Social Impact Prediction,89.79,34.39,34.15,89.05,100,98.74
36,GlobalFinance,Aerospace,2021,109.88,Water Conservation,Ecosystem Monitoring,70.15,24.76,31.18,84.22,100,100
37,FintechFront,Education,2021,54.73,Sustainable Supply Chain,Supplier Risk Assessment,32.67,8.89,13.72,69.96,82.56,83.02
38,SmartRetail,Entertainment,2023,93.03,Biodiversity Protection,Social Impact Prediction,54.11,14.67,23.29,75.87,77.94,83.95
39,HealthInnovate,Manufacturing,2023,127.27,Community Engagement,Ecosystem Monitoring,94.77,43.44,36.08,84.68,100,100
40,RoboWorks,Agriculture,2022,81.09,Circular Economy,Sustainable Resource Allocation,57.4,21.46,20.68,74.8,100,98.44
41,EnergyFuture,Aerospace,2024,120.98,Community Engagement,Ecosystem Monitoring,89.86,30.02,32.42,82.74,100,100
42,FintechFront,Entertainment,2024,86.32,Ethical AI,Bias Detection,47.35,12.22,21.01,73.23,76.58,79.12
43,SpaceVentures,Education,2022,61.56,Water Conservation,Sustainable Resource Allocation,39.26,11.69,17.45,69.81,81.78,87.21
44,RoboWorks,Retail,2023,72.75,Ethical AI,Ethical Decision Support,43.03,12.77,15.27,71.54,82.5,74.7
45,TechCorp,Telecommunications,2023,121.78,Sustainable Supply Chain,Supplier Risk Assessment,80.29,25.77,33.6,87.02,96.08,100
46,EcoSolutions,Education,2023,80.17,Renewable Energy Adoption,Emissions Tracking,55.33,15.04,21.42,74.69,85.33,91.12
47,EnergyFuture,Healthcare,2023,122.9,Community Engagement,Ecosystem Monitoring,90.98,34.66,31.06,90.04,100,100
48,NanoTech,Real Estate,2023,59.68,Circular Economy,Sustainable Resource Allocation,40.15,12.41,15.23,72.62,88.35,86.8
49,BioGen,Retail,2024,113.71,Community Engagement,Ecosystem Monitoring,75.62,22.54,30.69,84.79,83.82,100
50,NanoTech,Retail,2020,72.94,Renewable Energy Adoption,Emissions Tracking,48.1,13.46,17.33,75.36,79.89,86.55
51,TechCorp,Transportation,2022,100.53,Fair Labor Practices,Fair Pay Analysis,51.38,23.72,22.77,73.58,100,76.22
52,AIFirst,Manufacturing,2021,95.73,Circular Economy,Sustainable Resource Allocation,56.68,24.44,22.47,80.78,100,91.34
53,SmartRetail,Energy,2020,93.08,Fair Labor Practices,Ethical Decision Support,50.06,23.78,20.58,77.87,100,79.0
54,FintechFront,Entertainment,2021,78.44,Sustainable Supply Chain,Supplier Risk Assessment,55.65,14.55,21.36,74.67,72.59,96.09
55,RoboWorks,Healthcare,2023,117.25,Carbon Neutrality,Energy Efficiency Modeling,85.58,31.95,31.92,89.36,100,100
56,DataDynamics,Aerospace,2023,101.62,Biodiversity Protection,Social Impact Prediction,62.84,21.45,26.21,80.23,100,93.3
57,SmartRetail,Energy,2023,90.83,Ethical AI,Bias Detection,56.09,27.21,23.26,76.3,100,83.0
58,SmartRetail,Biotechnology,2022,101.96,Community Engagement,Ecosystem Monitoring,75.82,29.81,26.87,85.69,100,100
59,TechCorp,Retail,2020,73.9,Ethical AI,Bias Detection,47.65,13.17,18.05,73.69,82.31,82.75
60,CloudPioneer,Entertainment,2022,68.71,Circular Economy,Sustainable Resource Allocation,43.69,12.82,19.61,74.35,74.63,86.26
61,EcoSolutions,Energy,2023,129.4,Renewable Energy Adoption,Emissions Tracking,80.81,35.35,32.36,85.73,100,100
62,FintechFront,Education,2021,55.0,Ethical AI,Ethical Decision Support,30.35,9.23,12.23,66.33,80.03,68.03
63,EnergyFuture,Finance,2020,88.49,Water Conservation,Sustainable Resource Allocation,56.54,17.14,24.14,75.76,92.86,89.76
64,CloudPioneer,Healthcare,2022,97.72,Community Engagement,Social Impact Prediction,61.32,23.52,21.82,79.46,100,87.45
65,BioGen,Information Technology,2023,133.78,Community Engagement,Ecosystem Monitoring,85.29,29.23,38.71,89.27,100,100
66,AgroTech,Entertainment,2024,98.79,Sustainable Supply Chain,Supplier Risk Assessment,57.8,16.63,27.98,78.62,74.99,93.96
67,NanoTech,Retail,2024,101.83,Circular Economy,Sustainable Resource Allocation,69.93,21.11,27.63,81.16,84.91,97.84
68,QuantumLeap,Healthcare,2024,155.35,Fair Labor Practices,Fair Pay Analysis,79.63,28.18,31.16,86.42,100,90.53
69,EcoSolutions,Agriculture,2020,61.53,Diversity & Inclusion,Bias Detection,40.29,15.15,14.14,72.31,100,83.06
70,EcoSolutions,Automotive,2024,154.83,Renewable Energy Adoption,Emissions Tracking,105.08,39.45,42.14,88.66,100,100
71,TechCorp,Automotive,2022,119.23,Diversity & Inclusion,Fair Pay Analysis,62.0,24.95,27.37,78.27,100,81.91
72,GreenMobility,Transportation,2023,111.45,Circular Economy,Waste Reduction Optimization,85.4,32.74,28.34,82.71,100,100
73,BioGen,Entertainment,2022,79.62,Renewable Energy Adoption,Energy Efficiency Modeling,62.49,18.48,22.02,76.2,74.45,100
74,HealthInnovate,Entertainment,2024,107.62,Circular Economy,Waste Reduction Optimization,80.21,22.64,27.45,84.14,75.6,100
75,EduTech,Retail,2024,78.72,Community Engagement,Ecosystem Monitoring,59.53,18.07,21.92,80.82,82.49,100
76,EcoSolutions,Manufacturing,2021,85.11,Diversity & Inclusion,Bias Detection,50.04,20.88,21.58,76.3,100,85.68
77,RoboWorks,Manufacturing,2021,71.01,Sustainable Supply Chain,Supplier Risk Assessment,48.33,18.95,18.99,76.12,100,87.41
78,CloudPioneer,Transportation,2021,98.8,Renewable Energy Adoption,Emissions Tracking,58.48,23.47,24.87,77.04,100,95.14
79,TechCorp,Automotive,2023,153.57,Community Engagement,Social Impact Prediction,100.75,42.76,37.92,91.66,100,100
80,CloudPioneer,Telecommunications,2021,88.75,Community Engagement,Social Impact Prediction,57.58,18.28,22.32,80.39,90.1,84.77
81,AIFirst,Manufacturing,2024,133.2,Ethical AI,Ethical Decision Support,69.31,30.9,29.63,81.17,100,84.11
82,CloudPioneer,Biotechnology,2022,113.67,Renewable Energy Adoption,Energy Efficiency Modeling,93.43,34.69,31.99,86.28,100,100
83,HealthInnovate,Manufacturing,2024,90.5,Sustainable Supply Chain,Supplier Risk Assessment,63.24,26.06,21.48,75.18,100,100
84,RoboWorks,Retail,2022,73.87,Ethical AI,Bias Detection,40.34,11.65,16.77,68.95,80.89,75.77
85,BioGen,Aerospace,2021,98.93,Circular Economy,Sustainable Resource Allocation,68.56,23.47,27.98,84.4,100,100
86,DataDynamics,Finance,2023,97.67,Carbon Neutrality,Energy Efficiency Modeling,77.56,27.5,30.07,85.55,90.84,100
