id,company,industry,year,ai_investment_percentage,traditional_process_impacted,ai_technology_used,process_efficiency_improvement,cost_savings,jobs_automated,new_jobs_created,product_quality_improvement,time_to_market_reduction
1,SpaceVentures,Agriculture,2020,47.54,Quality Control,Predictive Analytics,28.69,13.18,6.66,5.19,10.78,12.69
2,GreenMobility,Telecommunications,2023,93.24,Marketing,Quantum Machine Learning,95.11,50.25,26.13,24.9,30.18,49.69
3,AIFirst,Biotechnology,2023,108.16,Customer Support,Generative Models,72.01,31.91,16.42,15.8,22.69,35.96
4,GreenMobility,Agriculture,2021,54.36,Financial Planning,Reinforcement Learning,36.78,16.01,7.9,5.94,12.6,15.63
5,DataDynamics,Finance,2020,77.33,Manufacturing,Speech Recognition,58.49,27.53,15.9,13.18,16.11,31.85
6,CyberSecure,Energy,2022,69.5,Logistics,Generative Models,41.57,20.16,9.85,7.73,14.69,21.69
7,EduTech,Entertainment,2021,79.32,Financial Planning,Generative Models,47.53,23.08,11.32,9.37,17.19,20.08
8,EcoSolutions,Entertainment,2021,85.62,Marketing,Speech Recognition,46.65,21.84,10.3,8.97,17.79,18.59
9,QuantumLeap,Entertainment,2020,74.38,Financial Planning,Computer Vision,62.6,29.39,15.13,12.44,19.14,28.48
10,GlobalFinance,Energy,2023,69.43,Product Development,Predictive Analytics,48.6,21.78,10.87,9.53,16.16,22.51
11,EduTech,Transportation,2022,80.07,Logistics,Generative Models,48.08,24.51,12.01,9.83,16.1,25.08
12,QuantumLeap,Aerospace,2021,84.72,Quality Control,Computer Vision,92.66,44.81,30.21,26.16,24.08,52.76
13,AgroTech,Aerospace,2021,77.16,Logistics,Computer Vision,80.41,40.88,23.22,22.21,23.63,50.59
14,DataDynamics,Agriculture,2023,68.37,Product Development,Generative Models,43.86,19.63,9.41,7.73,15.32,19.44
15,EnergyFuture,Entertainment,2024,97.81,Product Development,Expert Systems,58.72,24.8,13.16,14.32,19.61,24.74
16,AgroTech,Telecommunications,2024,107.68,Logistics,Speech Recognition,74.74,38.41,21.38,21.85,23.85,39.85
17,CyberSecure,Education,2021,70.29,Human Resources,Robotics,49.23,22.28,9.63,8.26,19.43,19.61
18,DataDynamics,Automotive,2023,97.39,Manufacturing,Expert Systems,57.07,28.22,15.41,14.78,17.74,32.22
19,AgroTech,Agriculture,2020,48.55,Quality Control,Predictive Analytics,32.75,14.64,7.27,6.03,11.4,13.66
20,AgroTech,Real Estate,2022,65.93,Financial Planning,Predictive Analytics,41.94,19.98,8.86,7.26,17.24,15.63
21,FintechFront,Finance,2024,95.52,Customer Support,Quantum Machine Learning,108.38,49.26,28.09,30.16,32.36,61.87
22,RoboWorks,Finance,2021,99.12,Financial Planning,Autonomous Vehicles,96.12,47.24,28.37,27.33,27.38,52.17
23,CleanEnergy,Retail,2022,86.53,Manufacturing,Predictive Analytics,65.06,32.9,16.99,15.59,21.56,31.69
24,HealthInnovate,Manufacturing,2021,72.16,Manufacturing,Robotics,72.78,35.58,20.23,17.66,20.79,41.32
25,AgroTech,Entertainment,2023,87.13,Inventory Management,Generative Models,56.32,23.76,11.56,12.16,18.94,23.75
26,RoboWorks,Automotive,2023,93.29,Logistics,Robotics,83.65,39.22,20.75,19.46,30.23,46.69
27,SmartRetail,Finance,2020,93.22,Inventory Management,Quantum Machine Learning,114.06,51.9,29.91,27.63,30.04,65.84
28,DataDynamics,Energy,2020,60.02,Inventory Management,Computer Vision,46.29,24.03,11.62,9.26,18.31,21.29
29,RoboWorks,Education,2020,70.41,Quality Control,Generative Models,41.44,17.84,8.3,7.22,16.82,17.08
30,GreenMobility,Real Estate,2020,54.87,Manufacturing,Robotics,40.04,17.09,8.05,5.64,15.98,15.47
31,EduTech,Energy,2022,75.35,Marketing,Computer Vision,59.71,29.27,15.45,12.2,19.19,27.68
32,DataDynamics,Finance,2021,98.45,R&D,Predictive Analytics,85.82,40.51,26.17,23.84,23.68,45.72
33,BioGen,Retail,2024,92.8,Manufacturing,Expert Systems,61.05,27.94,16.81,17.39,19.91,33.23
34,EduTech,Education,2022,88.26,R&D,Robotics,70.1,30.67,13.66,12.69,23.9,26.82
35,EduTech,Healthcare,2024,105.65,Manufacturing,Robotics,104.61,50.28,28.1,28.35,34.08,53.32
36,GlobalFinance,Aerospace,2021,86.31,Manufacturing,Predictive Analytics,70.97,33.53,21.52,20.18,21.54,45.15
37,FintechFront,Education,2021,69.17,Manufacturing,Natural Language Processing,45.2,20.15,9.82,8.5,18.69,16.78
38,SmartRetail,Entertainment,2023,102.79,Marketing,Natural Language Processing,78.54,32.75,17.38,16.07,28.43,33.46
39,HealthInnovate,Manufacturing,2023,81.13,Human Resources,Autonomous Vehicles,74.5,37.66,19.86,18.01,20.88,40.21
40,RoboWorks,Agriculture,2022,61.36,Customer Support,Expert Systems,36.69,15.53,8.68,6.42,11.53,16.32
41,EnergyFuture,Aerospace,2024,92.47,Inventory Management,Expert Systems,69.06,33.58,19.37,21.15,20.19,43.44
42,FintechFront,Entertainment,2024,83.8,Quality Control,Robotics,72.75,37.13,17.25,16.73,24.01,31.76
43,SpaceVentures,Education,2022,73.82,R&D,Speech Recognition,44.48,19.82,9.08,8.18,15.57,19.17
44,RoboWorks,Retail,2023,91.52,Marketing,Natural Language Processing,80.12,40.12,20.67,21.13,23.27,43.93
45,TechCorp,Telecommunications,2023,108.72,Inventory Management,Predictive Analytics,89.36,47.54,27.13,27.37,24.8,51.9
46,EcoSolutions,Education,2023,98.0,Marketing,Robotics,72.05,28.72,13.7,12.03,30.01,29.38
47,EnergyFuture,Healthcare,2023,90.26,Quality Control,Autonomous Vehicles,84.74,44.85,23.31,21.22,24.64,45.74
48,NanoTech,Real Estate,2023,66.87,Logistics,Expert Systems,35.64,16.16,7.51,5.89,13.21,15.18
49,BioGen,Retail,2024,90.98,Logistics,Expert Systems,57.03,25.53,13.52,13.28,18.07,28.75
